Source,Target,Type,Id,Type_edge,Weigth
2695,2230,Undirected,0,inventeur_brevet,1
2696,2426,Undirected,1,inventeur_brevet,1
2697,1444,Undirected,2,inventeur_brevet,1
2698,1031,Undirected,3,inventeur_brevet,1
2699,546,Undirected,4,inventeur_brevet,1
2700,2522,Undirected,5,inventeur_brevet,1
2701,251,Undirected,6,inventeur_brevet,1
2702,2113,Undirected,7,inventeur_brevet,1
2703,604,Undirected,8,inventeur_brevet,1
2704,535,Undirected,9,inventeur_brevet,1
2705,172,Undirected,10,inventeur_brevet,1
2706,2535,Undirected,11,inventeur_brevet,1
2707,1304,Undirected,12,inventeur_brevet,1
2708,1076,Undirected,13,inventeur_brevet,1
2708,1085,Undirected,14,inventeur_brevet,1
2709,1995,Undirected,15,inventeur_brevet,1
2710,2010,Undirected,16,inventeur_brevet,1
2711,1565,Undirected,17,inventeur_brevet,1
2712,1110,Undirected,18,inventeur_brevet,1
2713,1451,Undirected,19,inventeur_brevet,1
2714,217,Undirected,20,inventeur_brevet,1
2715,1288,Undirected,21,inventeur_brevet,1
2716,806,Undirected,22,inventeur_brevet,1
2717,2011,Undirected,23,inventeur_brevet,1
2718,1327,Undirected,24,inventeur_brevet,1
2719,994,Undirected,25,inventeur_brevet,1
2720,854,Undirected,26,inventeur_brevet,1
2721,1830,Undirected,27,inventeur_brevet,1
2722,2244,Undirected,28,inventeur_brevet,1
2723,847,Undirected,29,inventeur_brevet,1
2724,1607,Undirected,30,inventeur_brevet,1
2725,1607,Undirected,31,inventeur_brevet,1
2726,1235,Undirected,32,inventeur_brevet,1
2726,1280,Undirected,33,inventeur_brevet,1
2727,1657,Undirected,34,inventeur_brevet,1
2728,1480,Undirected,35,inventeur_brevet,1
2729,328,Undirected,36,inventeur_brevet,1
2730,1658,Undirected,37,inventeur_brevet,1
2731,240,Undirected,38,inventeur_brevet,1
2732,2357,Undirected,39,inventeur_brevet,1
2733,379,Undirected,40,inventeur_brevet,1
2734,1607,Undirected,41,inventeur_brevet,1
2735,95,Undirected,42,inventeur_brevet,1
2736,1656,Undirected,43,inventeur_brevet,1
2737,1109,Undirected,44,inventeur_brevet,1
2737,1384,Undirected,45,inventeur_brevet,1
2737,1385,Undirected,46,inventeur_brevet,1
2738,1387,Undirected,47,inventeur_brevet,1
2739,2473,Undirected,48,inventeur_brevet,1
2740,2255,Undirected,49,inventeur_brevet,1
2741,751,Undirected,50,inventeur_brevet,1
2742,2532,Undirected,51,inventeur_brevet,1
2743,499,Undirected,52,inventeur_brevet,1
2744,401,Undirected,53,inventeur_brevet,1
2745,531,Undirected,54,inventeur_brevet,1
2746,1701,Undirected,55,inventeur_brevet,1
2747,2513,Undirected,56,inventeur_brevet,1
2748,1267,Undirected,57,inventeur_brevet,1
2749,2414,Undirected,58,inventeur_brevet,1
2750,2263,Undirected,59,inventeur_brevet,1
2751,182,Undirected,60,inventeur_brevet,1
2752,1284,Undirected,61,inventeur_brevet,1
2753,1965,Undirected,62,inventeur_brevet,1
2754,403,Undirected,63,inventeur_brevet,1
2755,667,Undirected,64,inventeur_brevet,1
2756,767,Undirected,65,inventeur_brevet,1
2757,317,Undirected,66,inventeur_brevet,1
2757,1227,Undirected,67,inventeur_brevet,1
2758,625,Undirected,68,inventeur_brevet,1
2759,2426,Undirected,69,inventeur_brevet,1
2760,848,Undirected,70,inventeur_brevet,1
2761,2426,Undirected,71,inventeur_brevet,1
2762,37,Undirected,72,inventeur_brevet,1
2763,1579,Undirected,73,inventeur_brevet,1
2764,1845,Undirected,74,inventeur_brevet,1
2765,1681,Undirected,75,inventeur_brevet,1
2766,2648,Undirected,76,inventeur_brevet,1
2767,2282,Undirected,77,inventeur_brevet,1
2768,427,Undirected,78,inventeur_brevet,1
2769,1558,Undirected,79,inventeur_brevet,1
2770,2556,Undirected,80,inventeur_brevet,1
2771,1558,Undirected,81,inventeur_brevet,1
2772,802,Undirected,82,inventeur_brevet,1
2773,2283,Undirected,83,inventeur_brevet,1
2774,1836,Undirected,84,inventeur_brevet,1
2775,1848,Undirected,85,inventeur_brevet,1
2776,117,Undirected,86,inventeur_brevet,1
2777,385,Undirected,87,inventeur_brevet,1
2778,1691,Undirected,88,inventeur_brevet,1
2779,1268,Undirected,89,inventeur_brevet,1
2779,2055,Undirected,90,inventeur_brevet,1
2780,544,Undirected,91,inventeur_brevet,1
2781,1790,Undirected,92,inventeur_brevet,1
2782,1707,Undirected,93,inventeur_brevet,1
2783,459,Undirected,94,inventeur_brevet,1
2784,2290,Undirected,95,inventeur_brevet,1
2785,2228,Undirected,96,inventeur_brevet,1
2786,31,Undirected,97,inventeur_brevet,1
2787,1151,Undirected,98,inventeur_brevet,1
2788,37,Undirected,99,inventeur_brevet,1
2789,7,Undirected,100,inventeur_brevet,1
2790,101,Undirected,101,inventeur_brevet,1
2791,2577,Undirected,102,inventeur_brevet,1
2792,2596,Undirected,103,inventeur_brevet,1
2793,2615,Undirected,104,inventeur_brevet,1
2794,705,Undirected,105,inventeur_brevet,1
2795,1579,Undirected,106,inventeur_brevet,1
2796,2121,Undirected,107,inventeur_brevet,1
2797,1393,Undirected,108,inventeur_brevet,1
2798,1509,Undirected,109,inventeur_brevet,1
2799,1639,Undirected,110,inventeur_brevet,1
2800,1100,Undirected,111,inventeur_brevet,1
2801,385,Undirected,112,inventeur_brevet,1
2802,1094,Undirected,113,inventeur_brevet,1
2803,825,Undirected,114,inventeur_brevet,1
2804,1686,Undirected,115,inventeur_brevet,1
2805,1223,Undirected,116,inventeur_brevet,1
2806,1648,Undirected,117,inventeur_brevet,1
2806,1649,Undirected,118,inventeur_brevet,1
2806,1650,Undirected,119,inventeur_brevet,1
2806,1651,Undirected,120,inventeur_brevet,1
2806,1652,Undirected,121,inventeur_brevet,1
2806,1653,Undirected,122,inventeur_brevet,1
2806,1654,Undirected,123,inventeur_brevet,1
2806,1655,Undirected,124,inventeur_brevet,1
2806,1881,Undirected,125,inventeur_brevet,1
2806,1930,Undirected,126,inventeur_brevet,1
2807,1615,Undirected,127,inventeur_brevet,1
2807,1880,Undirected,128,inventeur_brevet,1
2808,1447,Undirected,129,inventeur_brevet,1
2809,2228,Undirected,130,inventeur_brevet,1
2810,2114,Undirected,131,inventeur_brevet,1
2811,25,Undirected,132,inventeur_brevet,1
2812,591,Undirected,133,inventeur_brevet,1
2813,1825,Undirected,134,inventeur_brevet,1
2814,1949,Undirected,135,inventeur_brevet,1
2815,845,Undirected,136,inventeur_brevet,1
2816,1441,Undirected,137,inventeur_brevet,1
2817,845,Undirected,138,inventeur_brevet,1
2818,1810,Undirected,139,inventeur_brevet,1
2819,2603,Undirected,140,inventeur_brevet,1
2820,2058,Undirected,141,inventeur_brevet,1
2821,1982,Undirected,142,inventeur_brevet,1
2822,1376,Undirected,143,inventeur_brevet,1
2823,1305,Undirected,144,inventeur_brevet,1
2824,1421,Undirected,145,inventeur_brevet,1
2825,2231,Undirected,146,inventeur_brevet,1
2826,1190,Undirected,147,inventeur_brevet,1
2827,2667,Undirected,148,inventeur_brevet,1
2828,1962,Undirected,149,inventeur_brevet,1
2829,1051,Undirected,150,inventeur_brevet,1
2830,1098,Undirected,151,inventeur_brevet,1
2831,1980,Undirected,152,inventeur_brevet,1
2832,2021,Undirected,153,inventeur_brevet,1
2833,594,Undirected,154,inventeur_brevet,1
2834,392,Undirected,155,inventeur_brevet,1
2835,180,Undirected,156,inventeur_brevet,1
2836,2018,Undirected,157,inventeur_brevet,1
2837,539,Undirected,158,inventeur_brevet,1
2838,2086,Undirected,159,inventeur_brevet,1
2839,1131,Undirected,160,inventeur_brevet,1
2840,854,Undirected,161,inventeur_brevet,1
2841,462,Undirected,162,inventeur_brevet,1
2842,2423,Undirected,163,inventeur_brevet,1
2843,2052,Undirected,164,inventeur_brevet,1
2844,351,Undirected,165,inventeur_brevet,1
2845,504,Undirected,166,inventeur_brevet,1
2846,504,Undirected,167,inventeur_brevet,1
2847,2089,Undirected,168,inventeur_brevet,1
2848,699,Undirected,169,inventeur_brevet,1
2849,2004,Undirected,170,inventeur_brevet,1
2850,305,Undirected,171,inventeur_brevet,1
2851,832,Undirected,172,inventeur_brevet,1
2852,1941,Undirected,173,inventeur_brevet,1
2853,186,Undirected,174,inventeur_brevet,1
2854,352,Undirected,175,inventeur_brevet,1
2855,1799,Undirected,176,inventeur_brevet,1
2856,1216,Undirected,177,inventeur_brevet,1
2857,1225,Undirected,178,inventeur_brevet,1
2858,1750,Undirected,179,inventeur_brevet,1
2859,1049,Undirected,180,inventeur_brevet,1
