Signet,Id,Label,Type,Occured,Date,Num_demande,link
DISPLAY DEVICE AND CONTROL METHOD THEREOF,1,brevet_1,brevet,1,2014-04-03,WO2013KR03284 20130418,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=0&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140403&CC=WO&NR=2014051231A1&KC=A1
PORTABLE DEVICE AND CONTROL METHOD THEREOF,2,brevet_2,brevet,1,2014-04-03,WO2012KR09916 20121122,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=1&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140403&CC=WO&NR=2014051201A1&KC=A1
PORTABLE TERMINAL DEVICE AND PASSWORD INPUT METHOD,3,brevet_3,brevet,1,2014-04-03,WO2013JP74991 20130917,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=3&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140403&CC=WO&NR=2014050629A1&KC=A1
APPARATUS DISPLAYING ANIMATED IMAGE COMBINED WITH TACTILE OUTPUT,4,brevet_4,brevet,1,2014-04-03,WO2012IB55199 20120928,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=4&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140403&CC=WO&NR=2014049398A1&KC=A1
METHOD AND DISPLAY DEVICE WITH TACTILE FEEDBACK,5,brevet_5,brevet,1,2014-04-03,WO2012IB55100 20120925,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=5&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140403&CC=WO&NR=2014049392A1&KC=A1
LEARNING WORD GAME AND METHOD OF INSTRUCTION,6,brevet_6,brevet,1,2014-04-03,US201314039414 20130927,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=6&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140403&CC=US&NR=2014093846A1&KC=A1
Storage Bag With Features That Facilitate Sealing And Unsealing Of The Bag,7,brevet_7,brevet,1,2014-04-03,US201213631636 20120928,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=7&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140403&CC=US&NR=2014093195A1&KC=A1
Touch Pad with Force Sensors and Actuator Feedback,8,brevet_8,brevet,1,2014-04-03,US201314097145 20131204,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=8&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140403&CC=US&NR=2014092064A1&KC=A1
MUZZLELOADER BULLET SYSTEM,9,brevet_9,brevet,1,2014-03-28,CA20132828684 20130930,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=9&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140328&CC=CA&NR=2828684A1&KC=A1
TACTILE ARRAY SENSOR,10,brevet_10,brevet,1,2014-03-24,CA20132827699 20130923,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=10&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140324&CC=CA&NR=2827699A1&KC=A1
